Model,Item,Part No.,Alternate Part No.,Part Name (BOM),Part Description (TCLNA),Price,Inventory,New Part No. Inventory,Accessory?,Service,Never,Notes,Mario,Inspect?,Type,Year Sold
TAC-08CPA/HA,1,810700494,,Horizon deflector 2,Horizon deflector 2,$5.58,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,2,810700691,,Deflector link,Deflector link,$0.50,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,3,810700690,,Support of deflector,Support of deflector,$2.00,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,4,810700689,,Horizon deflector link 1,Horizon deflector link 1,$4.00,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,5,810700692,,Fixer of motor,Fixer of motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,6,1175032001B,,Step motor,Step motor,$21.60,17,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,7,811303723B,,Panel sticker,Panel sticker,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,8,810700488,,Top panel,Top panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,9,810900379,,Display board,Display board,$41.80,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,10,810800088,,Protect net,Protect net,$3.12,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,11,810700492,,Outlet duct,Outlet duct,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,12,8090950003B,,Receiver board,Receiver board,$14.88,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,13,810700497,,Handle,Handle,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,14,810700762B,,Front panel,Front panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,15,810800072,,Electrical box cover,Electrical box cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,16,810800071,,Electrical box,Electrical box,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,17,1170100037,,Fan motor capacitor,Fan motor capacitor,$9.76,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,18,1170100044,,Fan motor capacitor,Fan motor capacitor,$5.68,25,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,19,1170100004-R,,Capacitor of compressor,Capacitor of compressor,$11.73,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,20,1085110009,,Capacitor clamp,Capacitor clamp,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,21,810900378,,Control circuit board,Control circuit board,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,22,1073030201,,Sensor fixer,Sensor fixer,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,23,1175032007,,Sensor resistance,Sensor resistance,$8.04,10,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,24,810700515,,lead of water,lead of water,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,25,811200746,,Evaporator,Evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,26,810700397,,Front duct of evaporator,Front duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,27,810700400,,Centrifugal fan,Centrifugal fan,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,28,810700398,,Rear duct of evaporator,Rear duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,29,810900023B,,Fan motor,Fan motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,30,1075100022,,Clamp,Clamp,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,31,810700410,,Middle metal panel,Middle metal panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,32,810800093,,Support,Support,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,33,810900137,,Fan motor,Fan motor,$47.46,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,34,810700417,,Rear duct of condenser,Rear duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,35,1175110002,,Centrifugal fan,Centrifugal fan,$33.60,2,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,36,810700416,,Front duct of condenser,Front duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,37,810700418,,Condenser seal,Condenser seal,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,38,811200747,,Condenser,Condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,39,810800073,,Condensor protector,Condensor protector,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,40,810700026C,,Float fix panel,Float fix panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,41,810900031,,Float switch,Float switch,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,42,1075090029,,Splash motor left cover,Splash motor left cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,43,8170070001B,,Splash motor,Splash motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,44,1075090017,,Splash moter right cover,Splash moter right cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,45,8070032005,,Castor,Castor,$3.24,40,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,46,814100485,,Base,Base,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,47,810700027,,Stopper,Stopper,$1.54,10,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,48,1075110023,,Splash disk,Splash disk,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,49,811200726,,Capillary,Capillary,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,50,811200742,,Compressor,Compressor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,51,811200743,,Discharge pipe,Discharge pipe,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,52,811200744,,Suction pipe,Suction pipe,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,53,810700491,,Filter of evaporator,Filter of evaporator,$5.36,28,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,54,810700490,,Grill of evaporator,Grill of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,55,810700489,,Back panel,Back panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,56,214106113A,,Cover of drainage hose,Cover of drainage hose,$0.40,10,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,57,210703297,,Seal,Seal,$2.00,18,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,58,210703134,,Fixer of drainage cover,Fixer of drainage cover,$2.75,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,59,8120120025A,,Hose pipe,Exhaust Hose,$12.30,69,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,60,810700396,,Hose inlet,Hose inlet,$4.26,18,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,61,810700693,,Window slider,Window slider,$14.54,199,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,62,810700345A,,Hose outlet,Hose outlet,$4.75,27,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,63,810800108,,Protect net of window slider,Protect net of window slider,$2.54,20,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,64,810900417B,,Remote controller,Remote controller,$12.87,24,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,65,810900443,,Power cord,Power cord,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,19,810900275,,Capacitor of compressor,Capacitor of compressor,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,20,1085110009,,Capacitor clamp,Capacitor clamp,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,21,810900378,,Control circuit board,Control circuit board,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,22,1073030201,,Sensor fixer,Sensor fixer,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,23,1175032007,,Sensor resistance,Sensor resistance,$8.04,10,0,,Y,,,,,Portable,2017
TAC-10CPA/HA,24,810700515,,lead of water,lead of water,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,25,811200633,,Evaporator,Evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,26,810700397,,Front duct of evaporator,Front duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,27,810700400,,Centrifugal fan,Centrifugal fan,$-,0,0,,,,,,,Portable,2017
